REGION,GDPC_2015
ABW,28396.90842
AFE,1549.03794
AFG,556.0072209
AFW,1894.310195
AGO,4166.979833
ALB,3952.802538
AND,35770.7767
ARB,6220.716636
ARE,38663.4005
ARG,13789.06042
ARM,3607.289299
ASM,12059.63516
ATG,14285.32978
AUS,56707.02208
AUT,44195.81759
AZE,5500.310382
BDI,305.5496525
BEL,41008.29672
BEN,1076.796698
BFA,653.3272681
BGD,1248.45331
BGR,7074.681023
BHR,22634.08565
BHS,31776.05559
BIH,4729.689959
BLR,5967.052204
BLZ,4770.232656
BMU,102005.6256
BOL,3035.971655
BRA,8813.989806
BRB,16524.8995
BRN,31164.03625
BTN,2752.630172
BWA,6402.910183
CAF,377.4229177
CAN,43596.13554
CEB,12522.66106
CHE,84776.14217
CHI,
CHL,13574.16924
CHN,8016.431435
CIV,1972.545683
CMR,1382.50979
COD,497.3170391
COG,2447.539308
COL,6175.87603
COM,1242.585608
CPV,3043.031382
CRI,11642.77805
CSS,10141.41539
CUB,7694.014637
CUW,19951.3279
CYM,76284.19393
CYP,23408.33668
CZE,17829.69832
DEU,41103.25644
DJI,2658.949245
DMA,7597.288894
DNK,53254.85637
DOM,6921.520594
DZA,4177.889542
EAP,6488.666968
EAR,3229.299011
EAS,9579.474371
ECA,7557.499695
ECS,22624.86511
ECU,6124.490887
EGY,3562.932658
EMU,34388.28378
ERI,
ESP,25742.36883
EST,17402.03761
ETH,640.5419231
EUU,30485.02881
FCS,1878.713408
FIN,42801.90812
FJI,5390.714207
FRA,36652.92231
FRO,52400.29728
FSM,2906.617012
GAB,7384.700704
GBR,45404.56777
GEO,4014.185944
GHA,1774.074771
GIB,
GIN,769.2554754
GMB,660.7235712
GNB,603.3993815
GNQ,11283.39805
GRC,18083.87791
GRD,9096.538652
GRL,44536.40131
GTM,3994.636913
GUM,35829.25036
GUY,5576.825852
HIC,40478.26736
HKG,42431.88828
HND,2286.203037
HPC,919.2472643
HRV,11933.37738
HTI,1386.854191
HUN,12720.71202
IBD,5534.678566
IBT,4494.164375
IDA,1320.367091
IDB,1972.077087
IDN,3331.695115
IDX,990.8457394
IMN,85126.97047
IND,1605.605445
INX,
IRL,62012.48493
IRN,4904.327315
IRQ,4688.318017
ISL,52951.68151
ISR,35808.43643
ITA,30242.38614
JAM,4907.927415
JOR,4164.108769
JPN,34960.63938
KAZ,10510.77189
KEN,1464.554009
KGZ,1121.082835
KHM,1162.904995
KIR,1542.616465
KNA,18028.97343
KOR,28732.23108
KWT,29869.55275
LAC,8240.814501
LAO,2140.044323
LBN,7663.920232
LBR,721.5810505
LBY,4337.919139
LCA,10093.61802
LCN,8630.85569
LDC,1004.877618
LIC,715.9337401
LIE,167313.2663
LKA,3843.780672
LMC,2081.018535
LMY,4371.286749
LSO,1146.064688
LTE,8188.333629
LTU,14263.96458
LUX,105462.0126
LVA,13786.4568
MAC,74818.94813
MAF,
MAR,2875.257985
MCO,165989.5051
MDA,2732.457113
MDG,467.2354316
MDV,9033.41027
MEA,7269.495916
MEX,9616.645558
MHL,3199.886846
MIC,4756.477458
MKD,4861.553971
MLI,751.4728866
MLT,24921.60368
MMR,1196.743357
MNA,3807.580603
MNE,6514.272695
MNG,3875.321675
MNP,16314.38355
MOZ,589.85905
MRT,1524.071753
MUS,9260.447303
MWI,380.5969877
MYS,9955.242722
NAC,55542.96607
NAM,4896.61526
NCL,32520.29416
NER,484.1531374
NGA,2687.480056
NIC,2049.851666
NLD,45193.40322
NOR,74355.51586
NPL,901.7496077
NRU,8341.012278
NZL,38630.72659
OED,35616.01877
OMN,18444.927
OSS,12779.53685
PAK,1356.667831
PAN,13630.30114
PER,6229.100674
PHL,3001.043182
PLW,15876.46193
PNG,2679.346579
POL,12578.49547
PRE,1558.660687
PRI,29763.4883
PRK,
PRT,19250.10654
PRY,5413.776021
PSE,3272.154324
PSS,3832.184552
PST,40698.46016
PYF,
QAT,63039.11263
ROU,8969.148921
RUS,9313.013625
RWA,751.0773926
SAS,1543.048131
SAU,20627.92693
SDN,1329.635962
SEN,1219.249415
SGP,55646.61875
SLB,2167.119928
SLE,588.2288628
SLV,3705.579704
SMR,42662.90265
SOM,386.437817
SRB,5588.980728
SSA,1687.101798
SSD,1119.651437
SSF,1688.327251
SST,11738.35138
STP,1584.775657
SUR,9168.237157
SVK,16342.21626
SVN,20890.16643
SWE,51545.48361
SWZ,3680.349473
SXM,32274.89055
SYC,14745.34146
SYR,916.3580331
TCA,26183.88504
TCD,776.0197523
TEA,6561.191006
TEC,8019.893846
TGO,570.9099672
THA,5840.053067
TJK,978.4049812
TKM,6432.685325
TLA,8482.301221
TLS,1332.791856
TMN,3813.93669
TON,4336.239603
TSA,1543.048131
TSS,1688.327251
TTO,18214.46062
TUN,4094.836287
TUR,11006.27952
TUV,3197.772252
TZA,947.9333517
UGA,847.2676289
UKR,2124.662319
UMC,8155.881802
URY,15613.74597
USA,56863.3715
UZB,2753.971072
VCT,6921.702479
VEN,
VGB,
VIR,34007.35294
VNM,2085.101349
VUT,2695.666186
WLD,10223.24793
WSM,4071.926959
XKX,3520.766449
YEM,1601.830063
ZAF,6259.839681
ZMB,1338.290927
ZWE,1445.069702
