,R_Coefficient,C_Coefficient,Country,Code
Africa_Eastern,25.65,10.73,Burundi,BDI
,25.65,10.73,Comoros,COM
,25.65,10.73,Djibouti,DJI
,25.65,10.73,Eritrea,ERI
,25.65,10.73,Ethiopia,ETH
,25.65,10.73,Kenya,KEN
,25.65,10.73,Madagascar,MDG
,25.65,10.73,Mauritius,MUS
,25.65,10.73,Reunion,REU
,25.65,10.73,Rwanda,RWA
,25.65,10.73,Sudan,SDN
,25.65,10.73,Somalia,SOM
,25.65,10.73,Uganda,UGA
Africa_Northern,25.84,11.03,Algeria,DZA
,25.84,11.03,Egypt,EGY
,25.84,11.03,Western Sahara,
,25.84,11.03,Libya,LBY
,25.84,11.03,Morocco,MAR
,25.84,11.03,Tunisia,TUN
Africa_Southern,22.55,9.34,Angola,AGO
,22.55,9.34,Botswana,BWA
,22.55,9.34,Lesotho,LSO
,22.55,9.34,Mozambique,MOZ
,22.55,9.34,Malawi,MWI
,22.55,9.34,Namibia,NAM
,22.55,9.34,Swaziland,SWZ
,22.55,9.34,Tanzania,TZA
,22.55,9.34,Zambia,ZMB
,22.55,9.34,Zimbabwe,ZWE
Africa_Western,23.66,9.85,Benin,BEN
,23.66,9.85,Burkina Faso,BFA
,23.66,9.85,Central African Republic,CAF
,23.66,9.85,Cote d¡¯Ivoire,CIV
,23.66,9.85,Cameroon,CMR
,23.66,9.85,Democratic Republic of the Congo,COD
,23.66,9.85,Congo,COG
,23.66,9.85,Cape Verde,CPV
,23.66,9.85,Gabon,GAB
,23.66,9.85,Ghana,GHA
,23.66,9.85,Guinea,GIN
,23.66,9.85,Gambia,GMB
,23.66,9.85,Guinea-Bissau,GNB
,23.66,9.85,Equatorial Guinea,GNQ
,23.66,9.85,Liberia,LBR
,23.66,9.85,Mali,MLI
,23.66,9.85,Mauritania,MRT
,23.66,9.85,Niger,NER
,23.66,9.85,Nigeria,NGA
,23.66,9.85,Senegal,SEN
,23.66,9.85,Sierra Leone,SLE
,23.66,9.85,Sao Tome and Principe,STP
,23.66,9.85,Chad,TCD
,23.66,9.85,Togo,TGO
Argentina,30.17,14.57,Argentina,ARG
Australia_NZ,44.6,21.1,Australia,AUS
,44.6,21.1,New Zealand,NZL
Brazil,29.68,14.42,Brazil,BRA
Canada,42.73,22.39,Canada,CAN
Central America and Caribbean,31.06,14.77,Aruba,ABW
,31.06,14.77,Anguilla,AIA
,31.06,14.77,Netherlands Antilles,ANG
,31.06,14.77,Antigua & Barbuda,ATG
,31.06,14.77,Bahamas,BHS
,31.06,14.77,Belize,BLZ
,31.06,14.77,Bermuda,BMU
,31.06,14.77,Barbados,BRB
,31.06,14.77,Costa Rica,CRI
,31.06,14.77,Cuba,CUB
,31.06,14.77,Cayman Islands,CYM
,31.06,14.77,Dominica,DMA
,31.06,14.77,Dominican Republic,DOM
,31.06,14.77,Guadeloupe,GLP
,31.06,14.77,Grenada,GRD
,31.06,14.77,Guatemala,GTM
,31.06,14.77,Honduras,HND
,31.06,14.77,Haiti,HTI
,31.06,14.77,Jamaica,JAM
,31.06,14.77,Saint Kitts and Nevis,KNA
,31.06,14.77,Saint Lucia,LCA
,31.06,14.77,Montserrat,MSR
,31.06,14.77,Martinique,MTQ
,31.06,14.77,Nicaragua,NIC
,31.06,14.77,Panama,PAN
,31.06,14.77,El Salvador,SLV
